x,y,val
0,0,10.3658
5,0,10.4325
15,0,12.3235
15,5,13.5686
15.3,5,14.4276
15.3,0,11.3521
16,0,10
18,0,11.5979
20,0,17.2412
20,1,20
20,5,19.4636
20,6,18.5706
15,6,13.6201
15,6.3,13.5081
20,6.3,11.3396
20,7,10
20,9,11.1186
20,10,13.1753
18,10,20
16,10,19.338
15.3,10,18.4348
15.3,7,14.3028
15,7,13.2646
15,10,11.3064
13,10,10
10,10,10.2228
8.3,10,10.7631
8.3,5,12.0527
8,5,12.3009
8,10,11.4279
6,10,10
2,10,11.4986
0,10,17.1111
0,9,20
0,6,19.1717
0,4.3,17.2408
8,4.3,12.179
8,4,12.06
0,4,17.5657
0,3,20
0,1,17.5263
0.1,0,10
0.2,0,10
0.3,0,10
0.4,0,10
0.5,0,10
0.6,0,10
0.7,0,10
0.8,0,10
0.9,0,10
1,0,10
1.1,0,10
1.2,0,10
1.3,0,10
1.4,0,10
1.5,0,10
1.6,0,10
1.7,0,10
1.8,0,10
1.9,0,10
2,0,10
2.1,0,10
2.2,0,10
2.3,0,10
2.4,0,10
2.5,0,10
2.6,0,10
2.7,0,10
2.8,0,10
2.9,0,10
3,0,10
3.1,0,10
3.2,0,10
3.3,0,10
3.4,0,10
3.5,0,10
3.6,0,10
3.7,0,10
3.8,0,10
3.9,0,10
4,0,10
4.1,0,10
4.2,0,10
4.3,0,10
4.4,0,10
4.5,0,10
4.6,0,10
4.7,0,10
4.8,0,10
4.9,0,10
5.1,0,10.6427
5.2,0,10.7939
5.3,0,10.9111
5.4,0,11.0095
5.5,0,11.0938
5.6,0,11.1666
5.7,0,11.2313
5.8,0,11.2889
5.9,0,11.3409
6,0,11.3876
6.1,0,11.4305
6.2,0,11.4697
6.3,0,11.5056
6.4,0,11.5388
6.5,0,11.5694
6.6,0,11.598
6.7,0,11.6246
6.8,0,11.6493
6.9,0,11.6724
7,0,11.6942
7.1,0,11.7146
7.2,0,11.7339
7.3,0,11.7521
